Time_date,Time_point,Trt1_Mean,Trt1_SEM,Trt2_Mean,Trt2_SEM,Trt3_Mean,Trt3_SEM,Trt4_Mean,Trt4_SEM,Trt5_Mean,Trt5_SEM,Trt6_Mean,Trt6_SEM,Trt7_Mean,Trt7_SEM,Trt8_Mean,Trt8_SEM
2-May,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
8-May,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
15-May,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
23-May,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
30-May,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6-Jun,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11-Jun,6,1,0,1,0,1,0,0.833333333,0.112366644,1,0,0.916666667,0.083333333,1,0,0.916666667,0.083333333
20-Jun,7,1,0,1,0,1,0,0.25,0.130558242,1,0,0.916666667,0.083333333,0.909090909,0.090909091,0.833333333,0.112366644
27-Jun,8,1,0,1,0,1,0,0.25,0.130558242,1,0,0.916666667,0.083333333,0.909090909,0.090909091,0.75,0.130558242
5-Jul,9,1,0,1,0,1,0,0.25,0.130558242,1,0,0.916666667,0.083333333,0.909090909,0.090909091,0.666666667,0.142133811
11-Jul,10,1,0,1,0,1,0,0.25,0.130558242,1,0,0.916666667,0.083333333,0.909090909,0.090909091,0.666666667,0.142133811
18-Jul,11,0.818181818,0.121967344,0.833333333,0.112366644,0.916666667,0.083333333,0.083333333,0.083333333,0.666666667,0.142133811,0.666666667,0.142133811,0.545454545,0.157459164,0.416666667,0.148647098
25-Jul,12,0.454545455,0.157459164,0.416666667,0.148647098,0.666666667,0.142133811,0,0,0.583333333,0.148647098,0.583333333,0.148647098,0.363636364,0.152120005,0.333333333,0.142133811
5-Aug,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.083333333
